Handle   Lev   Pid -Window status-   Left    Top  Width Height Image                 Caption
0xAD4098C  1 14652 Res Ina Ena Hid    809    467    366    145 YouTubeDownloaderHD   Information
0xEF1098E  3 14652 Res Ina Ena Vis      0      0    360    116 YouTubeDownloaderHD   DirectUIHWND
0x0580912  4 14652 Res Ina Ena Hid      0      0      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x01F08FA  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   ScrollBar
0x0140924  4 14652 Res Ina Ena Hid      0      0      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x0100944  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   ScrollBar
0x0100910  4 14652 Res Ina Ena Hid     52     15      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x01E082E  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   ScrollBar
0x01607A8  4 14652 Res Ina Ena Hid     52     15      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x0560868  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   ScrollBar
0x011079E  4 14652 Res Ina Ena Hid     52     15      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x03A06EE  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   SysLink
0x0170604  4 14652 Res Ina Ena Hid     52     25      0      0 YouTubeDownloaderHD   CtrlNotifySink
0x01A0088  5 14652 Res Ina Ena Vis      0      0      0      0 YouTubeDownloaderHD   SysLink
0x0180880  4 14652 Res Ina Ena Vis    282     84     68     23 YouTubeDownloaderHD   CtrlNotifySink
0x026006A  5 14652 Res Ina Ena Vis      0      0     68     23 YouTubeDownloaderHD   OK
0x01A092A  1 14652 Min Ina Dis Hid     64   1052    160     28 YouTubeDownloaderHD   YouTube Downloader HD
0x0170926  2 14652 Res Ina Ena Vis      0      0    692     73 YouTubeDownloaderHD   TPanel
0x01E08F6  2 14652 Res Ina Ena Vis      0    367    692     39 YouTubeDownloaderHD   TPanel
0x00F0902  2 14652 Res Ina Ena Vis      0     73    692    294 YouTubeDownloaderHD   TPanel
0x01A08B4  3 14652 Res Ina Ena Vis    102    176    328     20 YouTubeDownloaderHD   Download lower resolution if selected is not available
0x016089E  3 14652 Res Ina Ena Vis    102    234    419     21 YouTubeDownloaderHD   C:\Users\selami.work\Documents
